"nationality","birthcity","player_cnt"
"CAN","Cole Harbour","1"
"CAN","Ste-Justine","1"
"USA","Ridgewood","1"
"USA","Fraser","1"
"CHE","Chur","1"
"SVK","Bojnice","1"
"USA","Sanbornville","1"
"CAN","Huntsville","1"
"CAN","Delta","1"
"CAN","Binscarth","1"
"CAN","Orleans","1"
"USA","Robbinsdale","1"
"USA","Westland","1"
"CAN","Montrose","1"
"CAN","St. Andrews","1"
"CAN","Rouyn-Noranda","1"
"DNK","Aalborg","1"
"CAN","Saint-Jerome","1"
"DEU","Moers","1"
"CAN","Baie-Comeau","1"
"CAN","Craik","1"
"SVK","Povazská Bystrica","1"
"CAN","Bonnyville","1"
"CAN","Tours","1"
"USA","Phoenix","1"
"FRA","Ivry-sur-Seine","1"
"FIN","Kajaani","1"
"DEU","Dingolfing","1"
"CZE","Rakovnik","1"
"CAN","Daysland","1"
"CAN","Cassiar","1"
"CZE","Vitkov","1"
"CAN","Antigonish","1"
"USA","Johnston","1"
"CAN","Amherstburg","1"
"USA","Staten Island","1"
"USA","Oviedo","1"
"SWE","Norrtälje","1"
"FIN","Muurame","1"
"USA","Green Bay","1"
"SWE","Mariefred","1"
"USA","Woodbury","1"
"CHE","St. Gallen","1"
"DNK","Rodovre","1"
"CAN","Portage la Prairie","1"
"SWE","Nykoping","1"
"CAN","Holland Landing","1"
"CAN","Saint-Léonard","1"
"CAN","St. Hyacinthe","1"
"USA","South St. Paul","1"
"USA","Huntsville","1"
"CAN","Halkirk","1"
"CAN","Granby","1"
"USA","Farmingville","1"
"USA","Glens Falls,","1"
"USA","E. Weymouth","1"
"USA","Pembroke Pines","1"
"FIN","Nokia","1"
"CAN","Paris","1"
"USA","Farmington","1"
"SWE","Ljunby","1"
"CAN","Ste-Catherine","1"
"RUS","Yuzhno-Sakhalinsk","1"
"USA","Hingham","1"
"CAN","St. Malo","1"
"USA","South St.Paul","1"
"USA","St. Louis Park","1"
"FIN","Narva","1"
"CZE","Usti","1"
"LVA","Ogre","1"
"CZE","Tabor","1"
"USA","Honeoye Falls","1"
"CAN","Wakaw","1"
"CAN","Ancienne-Lorette","1"
"CAN","Churchill","1"
"CAN","Pitt Meadows","1"
"USA","South Windsor","1"
"SVK","Bratislava","1"
"FIN","Jamsa","1"
"CAN","Perth","1"
"CAN","Quispamsis","1"
"USA","Plattsburgh","1"
"USA","Dubuque","1"
"CAN","Dorval","1"
"USA","York","1"
"CAN","Banff","1"
"RUS","Samara","1"
"LTU","Kaunas","1"
"SWE","Danderyd","1"
"USA","Mequon","1"
"FIN","Asikkala","1"
"USA","Ellwood City","1"
"CAN","Smithers","1"
"BLR","Potsdam","1"
"USA","Antigo","1"
"CAN","Yellow","1"
"CAN","Morinville","1"
"FRA","Le Blanc-Mesnil","1"
"DNK","Farevejle","1"
"CAN","Shawinigan","1"
"SWE","Linkoping","1"
"USA","Southampton","1"
"SWE","Bromma","1"
"USA","East Palestine","1"
"CAN","Ayr","1"
"CAN","Ilderton","1"
"USA","Brooklyn","1"
"KAZ","Ust-Kamenogorsk","1"
"USA","Holliston","1"
"FIN","Kempele","1"
"CAN","Val-d'Or","1"
"CAN","Ste. Foy","1"
"USA","Kalamazoo","1"
"CAN","Sooke","1"
"CAN","Alameda","1"
"SWE","Färgelanda","1"
"CAN","Buffalo","1"
"CAN","Portage La Prairie","1"
"DEU","Immenstadt","1"
"SWE","Gallivare","1"
"FIN","Toijala","1"
"CAN","Nipawin","1"
"USA","Vail","1"
"CAN","Torrance","1"
"RUS","Orsk","1"
"FIN","Hämeenlinna","1"
"SWE","Ostervala","1"
"CAN","Boucherville","1"
"SVN","Maribor","1"
"CAN","Bromont","1"
"FIN","Kalvola","1"
"USA","Garden City","1"
"USA","North Chelmsford","1"
"CAN","Wawota","1"
"CZE","Jihlava","1"
"CAN","Freiburg","1"
"CAN","Strasbourg","1"
"CAN","Levis","1"
"DEU","Kaufbeuren","1"
"DEU","Calw","1"
"SWE","Norrkoping","1"
"SVK","Cadca","1"
"CAN","Saint-Narcisse","1"
"USA","Newport News","1"
"CZE","Sumperk","1"
"CAN","Shaunavon","1"
"RUS","Surgut","1"
"USA","Niagara Falls","1"
"CAN","Glace Bay","1"
"USA","Excelsior","1"
"CAN","Arthabaska","1"
"USA","Troy","1"
"USA","Schenectady","1"
"SWE","Are","1"
"CZE","Bilovec","1"
"BLR","Minsk","1"
"CAN","Hinsdale","1"
"USA","SANDY","1"
"USA","Cloquet","1"
"RUS","Komsomolsk","1"
"USA","Chaska","1"
"USA","Crookston","1"
"CAN","St. Bonaventure","1"
"FIN","Vihti","1"
"DEU","Freiburg","1"
"RUS","Kamenogorsk","1"
"CAN","St. Agapit","1"
"SWE","Ange","1"
"USA","Ham Lake","1"
"CAN","Russell","1"
"RUS","Ufa","1"
"DEU","Cologne","1"
"SWE","Kalix","1"
"FIN","Lahti","1"
"FRA","Bayonne","1"
"SVK","Eisenstadt","1"
"USA","Warroad","1"
"DEU","Berlin","1"
"USA","Kennebunkport","1"
"CAN","Sayabec","1"
"DEU","Rosenheim","1"
"CAN","Phoenix","1"
"USA","Saugus","1"
"CZE","Moravska Trebova","1"
"USA","Superior","1"
"FIN","Stockholm","1"
"CAN","Gloucester","1"
"USA","Rancho Cucamonga","1"
"RUS","Ruse","1"
"SWE","Skovde","1"
"CAN","Port Alberni","1"
"USA","Riverside","1"
"FRA","Paris","1"
"CAN","Brock","1"
"USA","Shelby Twp.","1"
"CAN","Vaughan","1"
"CAN","Revelstoke","1"
"FIN","Tornio","1"
"CAN","Innisfil","1"
"SWE","Tibro","1"
"CZE","Písek","1"
"RUS","Kiev","1"
"CAN","Pincourt","1"
"USA","Downey","1"
"SWE","Arvika","1"
"CAN","Melfort","1"
"USA","Hancock","1"
"CAN","Rocky Mountain House","1"
"SWE","Port Chester","1"
"USA","Brighton","1"
"CAN","Watson","1"
"CZE","Koprivnice","1"
"CHE","Morges","1"
"CAN","Stewart Valley","1"
"CAN","Cornwall","1"
"USA","Albany","1"
"CAN","Ajax","1"
"CAN","St. Paul","1"
"BLR","Mogilev","1"
"CZE","Pilsen","1"
"CAN","Strathmore","1"
"USA","East Amherst","1"
"USA","Binghamton","1"
"CAN","Judique","1"
"USA","Kingsford","1"
"CAN","Central Butte","1"
"LVA","Latvia","1"
"SVN","Jesenice","1"
"USA","Fort Lauderdale","1"
"NOR","Bærum","1"
"CAN","Ste-Agathe","1"
"USA","Faribault","1"
"USA","Bronxville","1"
"CZE","Ostvava","1"
"CAN","Oakbank","1"
"CAN","Flin Flon","1"
"CAN","Recife","1"
"DEU","Dusseldorf","1"
"CAN","Dryden","1"
"NOR","Oslo","1"
"CZE","Rokycany","1"
"USA","Woonsocket","1"
"USA","Skokie","1"
"AUS","Cardiff","1"
"DNK","Brondby","1"
"CAN","Chandler","1"
"SWE","Kristianstad","1"
"CAN","Hayward","1"
"SVK","Stará Lubovna","1"
"SVK","Liptovsky Mikulas","1"
"FIN","Piikkio","1"
"CAN","Labrador City","1"
"CAN","Gaspe","1"
"USA","De Pere","1"
"CZE","Hradec Králové","1"
"USA","Buffalo Grove","1"
"USA","Nashua","1"
"CAN","Grand Prairie","1"
"CAN","Dorchester","1"
"CAN","Mt. Brydges","1"
"SWE","Nassjo","1"
"SWE","Njurunda","1"
"USA","Morristown","1"
"SWE","Härnösand","1"
"CAN","Porcupine","1"
"CZE","Celadna","1"
"USA","Pembroke","1"
"USA","Blaine","1"
"USA","Jefferson Hills","1"
"USA","Oswego","1"
"SVK","Handlova","1"
"CAN","Woodstock","1"
"FIN","Forssa","1"
