player_cnt,nationality,birthcity,city_ascii,iso3,latitude,longitude
23,CAN,Regina                                       ,Regina                             ,CAN,50.45,-104.617
8,FIN,Turku                                        ,Turku                              ,FIN,60.4539,22.255
1,USA,Pembroke Pines                               ,Pembroke Pines                     ,USA,26.0128,-80.3382
5,CZE,Plzen                                        ,Plzen                              ,CZE,49.7404,13.36
1,USA,Muskegon                                     ,Muskegon                           ,USA,43.2281,-86.2562
1,RUS,Maykop                                       ,Maykop                             ,RUS,44.61,40.12
7,CAN,Sudbury                                      ,Sudbury                            ,CAN,46.5,-80.9666
1,USA,Kansas City                                  ,Kansas City                        ,USA,39.1234,-94.7443
7,CAN,Abbotsford                                   ,Abbotsford                         ,CAN,49.0504,-122.3
1,USA,Binghamton                                   ,Binghamton                         ,USA,42.1014,-75.9093
1,CAN,Sarnia                                       ,Sarnia                             ,CAN,42.9666,-82.4
2,USA,Orange                                       ,Orange                             ,USA,33.8038,-117.8218
1,USA,Fullerton                                    ,Fullerton                          ,USA,33.8841,-117.9279
5,CAN,Sherbrooke                                   ,Sherbrooke                         ,CAN,45.4,-71.9
4,FIN,Oulu                                         ,Oulu                               ,FIN,65,25.47
2,USA,Roseville                                    ,Roseville                          ,USA,38.7691,-121.3178
2,USA,Warren                                       ,Warren                             ,USA,42.4934,-83.027
7,USA,Bloomington                                  ,Bloomington                        ,USA,40.4757,-88.9703
2,SWE,Uppsala                                      ,Uppsala                            ,SWE,59.8601,17.64
3,USA,Sterling Heights                             ,Sterling Heights                   ,USA,42.5809,-83.0305
1,USA,Stamford                                     ,Stamford                           ,USA,41.1035,-73.5583
2,CAN,Kelowna                                      ,Kelowna                            ,CAN,49.9,-119.4833
1,USA,Amherst                                      ,Amherst                            ,USA,43.0117,-78.7569
2,CZE,Zlin                                         ,Zlin                               ,CZE,49.2304,17.65
1,DNK,Aalborg                                      ,Aalborg                            ,DNK,57.0337,9.9166
5,USA,Duluth                                       ,Duluth                             ,USA,46.7757,-92.1392
2,CAN,Trois-Rivieres                               ,Trois-Rivieres                     ,CAN,46.35,-72.5499
2,USA,Smithtown                                    ,Smithtown                          ,USA,40.8662,-73.2164
11,USA,Rochester                                    ,Rochester                          ,USA,44.0151,-92.4778
1,USA,Dover                                        ,Dover                              ,USA,39.161,-75.5203
7,USA,Bloomington                                  ,Bloomington                        ,USA,39.1637,-86.5257
2,USA,Utica                                        ,Utica                              ,USA,43.0961,-75.226
1,SVN,Maribor                                      ,Maribor                            ,SVN,46.5405,15.65
2,USA,St. Cloud                                    ,St. Cloud                          ,USA,45.5339,-94.1718
9,CAN,Kingston                                     ,Kingston                           ,CAN,44.2337,-76.4833
2,USA,Cambridge                                    ,Cambridge                          ,USA,42.3759,-71.1185
1,USA,Downey                                       ,Downey                             ,USA,33.9379,-118.1312
1,USA,Westminster                                  ,Westminster                        ,USA,39.8837,-105.0624
2,USA,Everett                                      ,Everett                            ,USA,47.9524,-122.167
1,USA,Jacksonville                                 ,Jacksonville                       ,USA,34.7287,-77.394
4,SWE,Vasteras                                     ,Vasteras                           ,SWE,59.63,16.54
3,USA,Eau Claire                                   ,Eau Claire                         ,USA,44.82,-91.4951
2,CZE,Pardubice                                    ,Pardubice                          ,CZE,50.0404,15.76
1,USA,Lewisville                                   ,Lewisville                         ,USA,33.0452,-96.9823
1,USA,Edison                                       ,Edison                             ,USA,40.536,-74.3697
1,USA,Woodbridge                                   ,Woodbridge                         ,USA,40.5611,-74.2943
1,CZE,Olomouc                                      ,Olomouc                            ,CZE,49.63,17.25
1,USA,Holland                                      ,Holland                            ,USA,42.7677,-86.0984
1,FIN,Lahti                                        ,Lahti                              ,FIN,60.9939,25.6649
2,SWE,Orebro                                       ,Orebro                             ,SWE,59.2803,15.22
1,SWE,Linkoping                                    ,Linkoping                          ,SWE,58.41,15.6299
1,USA,Quincy                                       ,Quincy                             ,USA,42.2516,-71.0183
5,FIN,Kuopio                                       ,Kuopio                             ,FIN,62.8943,27.6949
1,USA,Westminster                                  ,Westminster                        ,USA,33.7523,-117.9938
2,SWE,Helsingborg                                  ,Helsingborg                        ,SWE,56.0505,12.7
3,CAN,Moncton                                      ,Moncton                            ,CAN,46.0833,-64.7667
1,SVK,Zilina                                       ,Zilina                             ,SVK,49.2198,18.7494
1,USA,Whittier                                     ,Whittier                           ,USA,33.9678,-118.0188
5,CAN,Peterborough                                 ,Peterborough                       ,CAN,44.3,-78.3333
1,USA,New Rochelle                                 ,New Rochelle                       ,USA,40.9305,-73.7836
2,SWE,Umea                                         ,Umea                               ,SWE,63.83,20.24
5,FIN,Pori                                         ,Pori                               ,FIN,61.4789,21.7749
3,USA,Evanston                                     ,Evanston                           ,USA,42.0463,-87.6942
4,SWE,Karlstad                                     ,Karlstad                           ,SWE,59.3671,13.4999
1,DNK,Esbjerg                                      ,Esbjerg                            ,DNK,55.467,8.45
1,USA,Wilmington                                   ,Wilmington                         ,USA,39.7415,-75.5413
1,USA,Schenectady                                  ,Schenectady                        ,USA,42.8025,-73.9276
1,USA,Skokie                                       ,Skokie                             ,USA,42.036,-87.74
1,USA,Brentwood                                    ,Brentwood                          ,USA,40.7839,-73.2522
1,USA,Gardena                                      ,Gardena                            ,USA,33.8944,-118.3073
1,SWE,Vaxjo                                        ,Vaxjo                              ,SWE,56.8837,14.8167
2,CAN,Drummondville                                ,Drummondville                      ,CAN,45.8833,-72.4834
2,USA,Middletown                                   ,Middletown                         ,USA,41.4458,-74.4228
1,SWE,Halmstad                                     ,Halmstad                           ,SWE,56.6718,12.8556
1,USA,Ithaca                                       ,Ithaca                             ,USA,42.4442,-76.5032
1,CZE,Jihlava                                      ,Jihlava                            ,CZE,49.4004,15.5833
2,CAN,Fredericton                                  ,Fredericton                        ,CAN,45.95,-66.6333
1,USA,Oak Park                                     ,Oak Park                           ,USA,41.8872,-87.7899
1,USA,Placentia                                    ,Placentia                          ,USA,33.8807,-117.8553
1,USA,Wheaton                                      ,Wheaton                            ,USA,39.0492,-77.0572
1,CAN,Shawinigan                                   ,Shawinigan                         ,CAN,46.5504,-72.7333
1,USA,La Mirada                                    ,La Mirada                          ,USA,33.9025,-118.0093
1,CAN,Cornwall                                     ,Cornwall                           ,CAN,45.0171,-74.7333
1,SWE,Lulea                                        ,Lulea                              ,SWE,65.5966,22.1584
2,USA,Everett                                      ,Everett                            ,USA,42.4064,-71.0545
2,SWE,Ostersund                                    ,Ostersund                          ,SWE,63.1833,14.65
2,USA,Arlington                                    ,Arlington                          ,USA,42.4187,-71.1639
8,CAN,Belleville                                   ,Belleville                         ,CAN,44.1667,-77.3833
2,USA,Salem                                        ,Salem                              ,USA,42.5129,-70.902
3,USA,Concord                                      ,Concord                            ,USA,43.2305,-71.5595
4,CAN,Charlottetown                                ,Charlottetown                      ,CAN,46.2493,-63.1313
1,USA,Woonsocket                                   ,Woonsocket                         ,USA,42.001,-71.4993
3,CAN,Victoriaville                                ,Victoriaville                      ,CAN,46.0504,-71.9667
1,CAN,Grande Prairie                               ,Grande Prairie                     ,CAN,55.1666,-118.8
1,CHE,Chur                                         ,Chur                               ,CHE,46.85,9.5
